Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time
1923,André Lagache,3.0,Chenard & Walcker SA,Chenard-Walcker Type U3 15CV Sport,Michelin,128.0,2209.536,1372.942,No series,FRA,FRA,92.06,57.21,11.25
1923,René Léonard,3.0,Chenard & Walcker SA,Chenard-Walcker Type U3 15CV Sport,Michelin,128.0,2209.536,1372.942,No series,FRA,FRA,92.06,57.21,11.25
1924,Frank Clement,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No series,GBR,GBR,86.56,53.78,12.0
1924,John Duff,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No series,CAN,GBR,86.56,53.78,12.0
1925,Gérard de Courcelles,5.0,Société Lorraine De Dietrich et Cie,Lorraine-Dietrich B3-6 Sport,Englebert,129.0,2233.982,1388.132,No series,FRA,FRA,93.08,57.84,11.16
1925,André Rossignol,5.0,Société Lorraine De Dietrich et Cie,Lorraine-Dietrich B3-6 Sport,Englebert,129.0,2233.982,1388.132,No series,FRA,FRA,93.08,57.84,11.16
1926,Robert Bloch,5.0,Société Lorraine De Dietrich et Cie,Lorraine-Dietrich B3-6 Le Mans,Dunlop,148.0,2552.414,1585.997,No series,FRA,FRA,106.35,66.08,9.73
1926,André Rossignol,5.0,Société Lorraine De Dietrich et Cie,Lorraine-Dietrich B3-6 Le Mans,Dunlop,148.0,2552.414,1585.997,No series,FRA,FRA,106.35,66.08,9.73
1927,Dudley Benjafield,3.0,Bentley Motors Limited,Bentley 3 Litre Speed,Dunlop,137.0,2369.807,1472.53,No series,GBR,GBR,98.74,61.36,10.51
1927,Sammy Davis,3.0,Bentley Motors Limited,Bentley 3 Litre Speed,Dunlop,137.0,2369.807,1472.53,No series,GBR,GBR,98.74,61.36,10.51
1928,Woolf Barnato,5.0,Bentley Motors Limited,Bentley 4½ Litre,Dunlop,155.0,2669.272,1658.609,No series,GBR,GBR,111.22,69.11,9.29
1928,Bernard Rubin,5.0,Bentley Motors Limited,Bentley 4½ Litre,Dunlop,155.0,2669.272,1658.609,No series,AUS,GBR,111.22,69.11,9.29
1929,Woolf Barnato,8.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,174.0,2843.83,1767.07,No series,GBR,GBR,118.49,73.63,8.28
1929,Henry Birkin,8.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,174.0,2843.83,1767.07,No series,GBR,GBR,118.49,73.63,8.28
1930,Woolf Barnato,>3.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,179.0,2930.663,1821.03,No series,GBR,GBR,122.11,75.88,8.04
1930,Glen Kidston,>3.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,179.0,2930.663,1821.03,No series,GBR,GBR,122.11,75.88,8.04
1931,Henry Birkin,3.0,Earl Howe,Alfa Romeo 8C-2300 LM,Dunlop,184.0,3017.654,1875.083,No series,GBR,GBR,125.74,78.13,7.83
1931,Earl Howe,3.0,Earl Howe,Alfa Romeo 8C-2300 LM,Dunlop,184.0,3017.654,1875.083,No series,GBR,GBR,125.74,78.13,7.83
1932,Luigi Chinetti,5.0,Raymond Sommer,Alfa Romeo 8C-2300 LM,Englebert,218.0,2954.038,1835.554,No series,ITA,FRA,123.08,76.48,6.61
1932,Raymond Sommer,5.0,Raymond Sommer,Alfa Romeo 8C-2300 LM,Englebert,218.0,2954.038,1835.554,No series,FRA,FRA,123.08,76.48,6.61
1933,Tazio Nuvolari,5.0,Raymond Sommer,Alfa Romeo 8C-2300 MM,Pirelli,233.0,3144.038,1953.615,No series,ITA,FRA,131.0,81.4,6.18
1933,Raymond Sommer,5.0,Raymond Sommer,Alfa Romeo 8C-2300 MM,Pirelli,233.0,3144.038,1953.615,No series,FRA,FRA,131.0,81.4,6.18
1934,Luigi Chinetti,3.0,Luigi Chinetti/Philippe Étancelin,Alfa Romeo 8C 2300,Englebert,213.0,2886.938,1793.86,No series,ITA,ITA,120.29,74.74,6.76
1934,Philippe Étancelin,3.0,Luigi Chinetti/Philippe Étancelin,Alfa Romeo 8C 2300,Englebert,213.0,2886.938,1793.86,No series,FRA,ITA,120.29,74.74,6.76
1935,Luis Fontés,5.0,Fox & Nichol,Lagonda M45R Rapide,Dunlop,222.0,3006.797,1868.337,No series,GBR,GBR,125.28,77.85,6.49
1935,Johnny Hindmarsh,5.0,Fox & Nichol,Lagonda M45R Rapide,Dunlop,222.0,3006.797,1868.337,No series,GBR,GBR,125.28,77.85,6.49
1937,Robert Benoist,5.0,Roger Labric,Bugatti Type 57G Tank,Dunlop,244.0,3287.938,2043.03,No series,FRA,FRA,137.0,85.13,5.9
1937,Jean-Pierre Wimille,5.0,Roger Labric,Bugatti Type 57G Tank,Dunlop,244.0,3287.938,2043.03,No series,FRA,FRA,137.0,85.13,5.9
1938,Eugène Chaboud,5.0,Eugène Chaboud et Jean Trémoulet,Delahaye 135CS,Dunlop,235.0,3180.94,1976.54,No series,FRA,FRA,132.54,82.36,6.13
1938,Jean Trémoulet,5.0,Eugène Chaboud et Jean Trémoulet,Delahaye 135CS,Dunlop,235.0,3180.94,1976.54,No series,FRA,FRA,132.54,82.36,6.13
1939,Pierre Veyron,8.0,Jean-Pierre Wimille,Bugatti Type 57S Tank,Dunlop,248.0,3354.76,2084.55,No series,FRA,FRA,139.78,86.86,5.81
1939,Jean-Pierre Wimille,8.0,Jean-Pierre Wimille,Bugatti Type 57S Tank,Dunlop,248.0,3354.76,2084.55,No series,FRA,FRA,139.78,86.86,5.81
1949,Luigi Chinetti,S 2.0,Lord Selsdon,Ferrari 166 MM,Englebert,235.0,3178.299,1974.903,No series,USA,GBR,132.43,82.29,6.13
1949,Peter Mitchell-Thomson,S 2.0,Lord Selsdon,Ferrari 166 MM,Englebert,235.0,3178.299,1974.903,No series,GBR,GBR,132.43,82.29,6.13
1950,Jean-Louis Rosier,S 5.0,Louis Rosier,Talbot Lago Grand Sport T26,Dunlop,256.0,3465.12,2153.13,No series,FRA,FRA,144.38,89.71,5.62
1950,Louis Rosier,S 5.0,Louis Rosier,Talbot Lago Grand Sport T26,Dunlop,256.0,3465.12,2153.13,No series,FRA,FRA,144.38,89.71,5.62
1951,Peter Walker,S 5.0,Peter Walker,Jaguar XK-120C,Dunlop,267.0,3611.193,2243.891,No series,GBR,GBR,150.47,93.5,5.39
1951,Peter Whitehead,S 5.0,Peter Walker,Jaguar XK-120C,Dunlop,267.0,3611.193,2243.891,No series,GBR,GBR,150.47,93.5,5.39
1952,Hermann Lang,S 3.0,Daimler-Benz A.G.,Mercedes-Benz 300 SL W194,Continental,277.0,3733.8,2320.076,No series,DEU,DEU,155.58,96.67,5.2
1952,Fritz Riess,S 3.0,Daimler-Benz A.G.,Mercedes-Benz 300 SL W194,Continental,277.0,3733.8,2320.076,No series,DEU,DEU,155.58,96.67,5.2
1953,Duncan Hamilton,S 5.0,Jaguar Cars Ltd.,Jaguar C-Type,Dunlop,304.0,4088.064,2540.205,WSC,GBR,GBR,170.34,105.84,4.74
1953,Tony Rolt,S 5.0,Jaguar Cars Ltd.,Jaguar C-Type,Dunlop,304.0,4088.064,2540.205,WSC,GBR,GBR,170.34,105.84,4.74
1954,José Froilán González,S 5.0,Scuderia Ferrari,Ferrari 375 Plus,Pirelli,302.0,4061.15,2523.48,WSC,ARG,ITA,169.21,105.14,4.77
1954,Maurice Trintignant,S 5.0,Scuderia Ferrari,Ferrari 375 Plus,Pirelli,302.0,4061.15,2523.48,WSC,FRA,ITA,169.21,105.14,4.77
1955,Ivor Bueb,S 5.0,Jaguar Cars Ltd.,Jaguar D-Type,Dunlop,307.0,4135.38,2569.61,WSC,GBR,GBR,172.31,107.07,4.69
1955,Mike Hawthorn,S 5.0,Jaguar Cars Ltd.,Jaguar D-Type,Dunlop,307.0,4135.38,2569.61,WSC,GBR,GBR,172.31,107.07,4.69
1956,Ron Flockhart,S 5.0,Ecurie Ecosse,Jaguar D-Type,Dunlop,300.0,4034.929,2507.189,No series,GBR,GBR,168.12,104.47,4.8
1956,Ninian Sanderson,S 5.0,Ecurie Ecosse,Jaguar D-Type,Dunlop,300.0,4034.929,2507.189,No series,GBR,GBR,168.12,104.47,4.8
1957,Ivor Bueb,S 5.0,Ecurie Ecosse,Jaguar D-Type,Dunlop,327.0,4397.108,2732.236,WSC,GBR,GBR,183.21,113.84,4.4
1957,Ron Flockhart,S 5.0,Ecurie Ecosse,Jaguar D-Type,Dunlop,327.0,4397.108,2732.236,WSC,GBR,GBR,183.21,113.84,4.4
1958,Olivier Gendebien,S 3.0,Scuderia Ferrari,Ferrari 250 TR58,Englebert,305.0,4101.926,2548.819,WSC,BEL,ITA,170.91,106.2,4.72
1958,Phil Hill,S 3.0,Scuderia Ferrari,Ferrari 250 TR58,Englebert,305.0,4101.926,2548.819,WSC,USA,ITA,170.91,106.2,4.72
1959,Roy Salvadori,S 3.0,David Brown Racing Dept.,Aston Martin DBR1/300,A,323.0,4347.9,2701.7,WSC,GBR,GBR,181.16,112.57,4.46
1959,Carroll Shelby,S 3.0,David Brown Racing Dept.,Aston Martin DBR1/300,A,323.0,4347.9,2701.7,WSC,USA,GBR,181.16,112.57,4.46
1960,Paul Frère,S 3.0,Scuderia Ferrari,Ferrari 250 TR59/60,Dunlop,314.0,4217.527,2620.65,WSC,BEL,ITA,175.73,109.19,4.59
1960,Olivier Gendebien,S 3.0,Scuderia Ferrari,Ferrari 250 TR59/60,Dunlop,314.0,4217.527,2620.65,G,BEL,ITA,175.73,109.19,4.59
1961,Olivier Gendebien,S 3.0,Scuderia Ferrari,Ferrari 250 TRI/61,Dunlop,333.0,4476.58,2781.62,WSC,BEL,ITA,186.52,115.9,4.32
1961,Phil Hill,S 3.0,Scuderia Ferrari,Ferrari 250 TRI/61,Dunlop,333.0,4476.58,2781.62,G,USA,ITA,186.52,115.9,4.32
1962,Olivier Gendebien,E +3.0,Scuderia Ferrari,Ferrari 330 TRI/LM Spyder,Dunlop,331.0,4451.255,2765.882,WSC,BEL,ITA,185.47,115.25,4.35
1962,Phil Hill,E +3.0,Scuderia Ferrari,Ferrari 330 TRI/LM Spyder,Dunlop,331.0,4451.255,2765.882,CMVE,USA,ITA,185.47,115.25,4.35
1963,Lorenzo Bandini,P Group 3 (racing),SpA Ferrari SEFAC,Ferrari 250 P,Dunlop,339.0,4561.71,2834.52,WSC,ITA,ITA,190.07,118.1,4.25
1963,Ludovico Scarfiotti,P Group 3 (racing),SpA Ferrari SEFAC,Ferrari 250 P,Dunlop,339.0,4561.71,2834.52,CMVE,ITA,ITA,190.07,118.1,4.25
1964,Jean Guichet,P Group 3 (racing),SpA Ferrari SEFAC,Ferrari 275 P,Dunlop,349.0,4695.31,2917.53,WSC,FRA,ITA,195.64,121.56,4.13
1964,Nino Vaccarella,P Group 3 (racing),SpA Ferrari SEFAC,Ferrari 275 P,Dunlop,349.0,4695.31,2917.53,CMVE,ITA,ITA,195.64,121.56,4.13
